od_id,od_nome,od_area,od_ano,od_municip,area,perimeter,geometry,d_m_1995,d_m_1996,d_m_1997,d_m_1998,d_m_1999,d_m_2000,d_m_2001,d_m_2002,d_m_2003,d_m_2004,d_m_2005,d_m_2006,d_m_2007,d_m_2008,d_m_2009,d_m_2010,d_m_2011,d_m_2012,d_m_2013,d_m_2014,d_m_2015,d_m_2016,d_m_2017,d_m_2018,d_m_2019
11,Bom Jardim,49.85,2017,36,497325.83740234375,3555.7384335889797,POINT (335516.00205007306 7397451.86526244),2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889,2419.090942141889
10,Canindé,82.61,2017,36,824159.3432617188,3931.76192882979,POINT (334466.6035551498 7397619.154597962),1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668,1928.5903620323668
164,Vila Guilherme,170.90,2017,36,1704829.5622558594,5843.97806709124,POINT (336409.5601403 7398091.034999314),3075.3933708386166,3075.3933708386166,3075.3933708386166,3075.3933708386166,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493,3032.8173068648493
162,Vila Maria,234.12,2017,36,2335473.4672851562,7515.599246515827,POINT (337645.32923523395 7398167.784675393),3641.2293326049557,3641.2293326049557,3641.2293326049557,3641.2293326049557,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731,3573.36204017731
131,Tietê,78.60,2017,36,784105.3598632812,3793.9733057788853,POINT (334101.8630989679 7398455.513450983),2074.0365821733753,2074.0365821733753,2074.0365821733753,2074.0365821733753,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597,1975.5038327469597
9,Ponte Pequena,129.78,2017,36,1294646.6469726562,5175.087353800234,POINT (333503.80845378496 7397514.396745639),1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642,1634.2992090376642
37,Rudge,84.73,2017,36,845313.5756835938,3736.942735068846,POINT (331084.729941543 7397516.786846523),2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2243.2881005889153,2216.500802374201
8,Bom Retiro,143.01,2017,36,1426645.1081542969,5721.886685462146,POINT (332066.2117727355 7397734.09058605),2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964,2023.7486114721964
92,Barra Funda,118.21,2017,36,1179256.9514160156,4932.974767497356,POINT (330218.6678322309 7397870.25190022),2904.8319050788346,2904.8319050788346,2904.8319050788346,2904.8319050788346,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2893.439277310904,2857.8287137412585
132,Parque Anhembi,313.52,2017,36,3127704.802734375,8510.429296787624,POINT (332680.92890535085 7398876.904489955),2381.593031857784,2381.593031857784,2381.593031857784,2381.593031857784,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178,2357.2045122227178
136,Casa Verde,325.35,2017,36,3245770.8125,8215.065559103341,POINT (330454.7499904829 7399216.626677398),3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504,3533.745913061504
133,Alfredo Pujol,215.07,2017,36,2145523.706298828,8629.498569201081,POINT (333285.3766543533 7400346.312199115),3351.0733888819827,3351.0733888819827,3351.0733888819827,3351.0733888819827,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529,2757.139428691529
137,Parque Peruche,391.87,2017,36,3909389.21484375,9762.429009743037,POINT (331004.9072579524 7400723.440714296),4249.577112683718,4249.577112683718,4249.577112683718,4249.577112683718,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225,4099.9094307926225
134,Santa Terezinha,251.08,2017,36,2504794.479248047,8355.61527610719,POINT (332683.48936067126 7401225.015846781),4182.548079533989,4182.548079533989,4182.548079533989,4182.548079533989,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193,3507.204417154193
