Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
263,Fazenda da Juta,0.4003,0.2567,0.1521,0.0158477896668391,0.1462,3
264,São Mateus,0.424,0.1745,0.2151,0.0205612051571555,0.1974,3
265,Cidade IV Centenário,0.2802,0.3166,0.1569,0.0159925293181944,0.1938,3
266,Rio Claro,0.1188,0.0705,0.0634,0.0105001163687562,0.1587,1
267,Cidade Satélite,0.1596,0.1678,0.1014,0.0144489602788233,0.2144,1
268,Joaquim Nabuco,0.0885,0.0493,0.1095,0.0095422380116137,0.6244,0
269,Vieira de Moraes,0.1359,0.0435,0.1816,0.0082362151110119,0.619,0
270,Campo Belo,0.0589,0.0309,0.0971,0.0066633134512664,0.465,0
271,Congonhas,0.0,0.0024,0.1329,0.0086276372910892,0.0,1
272,Jardim Aeroporto,0.1235,0.0625,0.1289,0.0095475275005337,0.3139,1
273,Vila Santa Catarina,0.3893,0.1358,0.268,0.0156621766920113,0.285,3
274,Jabaquara,0.2269,0.2035,0.3403,0.0138834658270164,0.3614,3
275,Cidade Vargas,0.2422,0.2229,0.2414,0.0167075720476477,0.4202,3
276,Jardim Bom Clima,0.5865,0.217,0.2315,0.021442626356273,0.2303,2
277,Cupecê,0.3765,0.329,0.2602,0.0200466821440318,0.2542,3
278,Jardim Miriam,0.8792,0.3964,0.2144,0.0247134539593267,0.1622,2
279,Vila Missionária,0.5288,0.1518,0.1765,0.0142046820632468,0.1422,3
280,Jurubatuba,0.1274,0.1978,0.2788,0.0232059496171371,0.3734,3
281,Vila São Pedro,0.2598,0.1676,0.1927,0.0150308040600193,0.4754,0
282,Campo Grande,0.214,0.1767,0.2257,0.0130967745658291,0.229,3
283,Vila Sabará,0.0677,0.0118,0.0365,0.0112791138278781,0.2779,1
284,Mar Paulista,0.323,0.2465,0.1288,0.0263830090075187,0.2001,3
285,Pedreira,0.6731,0.3415,0.271,0.062641493828609,0.1514,2
286,Vila Socorro,0.0577,0.0872,0.1914,0.0141017774606221,0.2882,1
287,Parque Interlagos,0.1727,0.1347,0.1458,0.0449923927532078,0.3495,3
288,Jardim Represa,0.1382,0.2292,0.0876,0.0376866468294803,0.1813,1
289,Rio Bonito,0.3011,0.2167,0.2085,0.02384213087542,0.2353,3
290,SESC Interlagos,0.3551,0.1576,0.0962,0.0354145709070415,0.1688,3
291,Jardim Presidente,0.4801,0.3682,0.1788,0.0366676989184437,0.2085,2
292,Vila Natal,0.4156,0.2446,0.1054,0.019960126870796,0.15,3
293,Grajaú,0.5448,0.3555,0.269,0.026000242354765,0.1724,2
294,Cocaia,0.7186,0.4868,0.149,0.0525741538260315,0.1351,2
295,Belmira Marin,0.7231,0.4745,0.1938,0.0594745325534382,0.1705,2
296,Bororé,0.0263,0.0371,0.0158,0.2881598156565025,0.1188,1
297,Jaceguava,0.0184,0.0063,0.0079,0.1689121348569626,0.2838,1
298,Parelheiros,0.9224,0.7499,0.2738,0.5610262762575039,0.1364,2
299,Marsilac,0.053,0.0155,0.0216,1.0,0.1525,1
300,Granja Julieta,0.221,0.631,1.0,0.0296634538631541,0.614,4
301,Chácara Flora,0.0791,0.0818,0.1805,0.0217470124004854,0.6179,0
302,Santo Amaro,0.1038,0.3384,0.294,0.0123634590564705,0.6084,0
303,Vila Miranda,0.0654,0.8963,0.284,0.0130385901877095,0.3126,4
304,Jardim São Luís,0.498,0.4105,0.3447,0.0196408340850819,0.1848,2
305,Centro Empresarial,0.8061,0.5297,0.2601,0.0324721724796547,0.1841,2
306,Guarapiranga,0.5206,0.2198,0.1909,0.0727665373466769,0.1699,2
307,Jardim Capela,0.6613,0.3492,0.239,0.0972328279146526,0.1715,2
308,Riviera,0.2652,0.2911,0.082,0.0384108259488862,0.1242,3
309,Jardim Turquesa,0.4163,0.2073,0.1229,0.0136021611890001,0.1632,3
310,Morro do Índio,0.1792,0.0772,0.082,0.0055126091798599,0.1379,1
311,Jardim Ângela,0.5607,0.4304,0.1639,0.0223009661491943,0.1496,2
312,Capão Redondo,0.2426,0.3353,0.1458,0.0105496452195522,0.2473,3
313,Jardim Sônia Ingá,0.1537,0.1544,0.0501,0.0050673303853248,0.2253,1
314,Adventista,0.6666,0.6083,0.2749,0.0262195157136289,0.1865,2
315,Parque Fernanda,0.7754,0.3743,0.3078,0.024633149900269,0.1629,2
316,Morumbi,0.0985,0.0972,0.1377,0.0130534969292112,0.5735,0
317,Jóquei Clube,0.0273,0.0189,0.0764,0.0160242662517142,0.7756,0
318,Fazenda Morumbi,0.1451,0.0391,0.1291,0.0154227071027257,0.315,1
319,Real Parque,0.0571,0.0941,0.2019,0.0107434328590745,0.6029,0
320,Paraisópolis,0.4677,0.2189,0.1198,0.0174048228598246,0.2132,3
321,Jardim Vitória Régia,0.271,0.143,0.231,0.0178005728035637,0.778,0
322,Vila Suzana,0.2498,0.1494,0.2056,0.0144499220040815,0.4395,3
323,Parque Arariba,0.3971,0.2149,0.1087,0.0166662178615461,0.2563,3
324,Jardim Mitsutani,0.4519,0.3129,0.2231,0.016797012496658,0.1565,2
325,Pirajussara,0.2537,0.3058,0.1117,0.0129856952985099,0.2298,3
326,Jardim Umarizal,0.3233,0.165,0.1128,0.0141811197944216,0.2074,3
327,Portal do Morumbi,0.1249,0.0201,0.0647,0.0072817027922731,0.5526,0
328,Jardim Jussara,0.1435,0.1177,0.1508,0.0111343741765227,0.5285,0
329,Vila Sônia,0.2179,0.1546,0.2112,0.0167551774479273,0.4167,3
330,Jardim Maria do Carmo,0.2678,0.077,0.1375,0.0133463422703255,0.2474,3
