Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
62,Parque Ibirapuera,0.0243322536123273,0.0114797383648472,0.1978828209667206,0.0100775405827923,0.5914076154306218,35
63,Jardim Luzitânia,0.0111880400304669,0.022359364685462,0.1251931891011336,0.0036612340777878,0.5650185761843667,0
64,Moema,0.177953250597273,0.0701937932359486,0.4084600888173235,0.0062209364901812,0.6588957366386212,30
65,Vila Helena,0.1431686004057433,0.1694223912203104,0.1737460734593197,0.0037233972643224,0.7180127976821025,10
66,Bandeirantes,0.0582215359523521,0.0629956812094921,0.2229494752062238,0.0047393213414034,0.7039739427038435,21
67,Vila Nova Conceição,0.0563612897993164,0.0202536646158892,0.0867447375246172,0.0039954944122399,0.7240285407171219,21
68,Chácara Itaim,0.1463667177883409,0.1093032115108115,0.7280659405846265,0.0072468066771077,0.5576936225237911,8
69,Vila Olímpia,0.0534137233533729,0.0524459514753445,0.232205960490021,0.0031838208052015,0.8360145490042407,19
70,Hélio Pelegrino,0.0623790761076456,0.1791734641531964,0.2011430458281582,0.0036722458422596,0.5898857455204625,35
71,Brooklin,0.1516062273650788,0.0573072349050097,0.204027948512091,0.0083209865404268,0.56438888980836,35
72,Vila Cordeiro,0.0537921421783189,0.1691690326818017,0.2419734302964284,0.0062763505307492,0.538024076484411,35
73,Berrini,0.0466816917873927,0.0161778016105195,0.9672432316128432,0.0070116522229022,0.6645831220113322,29
74,Campinas,0.0680397207613712,0.0571767844419638,0.3585963691687353,0.0017434109686409,0.8296351469928128,19
75,Pamplona,0.0760989580413749,0.0348197858712142,0.1243456927212976,0.0018236902838229,0.8664775017661502,10
76,Jardins,0.0581415656817182,0.0214265291220095,0.2343434850501417,0.0084435368224523,0.8161457804930526,19
77,Clínicas,0.1119657047385389,0.1214205498618849,0.3854840371644081,0.0045723687832817,0.749497659023712,30
78,Oscar Freire,0.1107397594159686,0.0080337772852345,0.246748203287368,0.0035525373059043,0.5641711077926701,35
79,Trianon,0.0569795978706363,0.0985663100922308,0.4571753648884902,0.0021245601066507,0.6984601950104047,30
